,DATE,STATE,TOTAL_DEATHS,NEW_DEATHS,RELATIVE_DEATHS
282,1604012400000,Colorado,2278,10,1.710708866432984e-06
283,1604098800000,Colorado,2285,7,1.1974962065030886e-06
284,1604185200000,Colorado,2285,0,0.0
285,1604271600000,Colorado,2292,7,1.1974962065030886e-06
286,1604358000000,Colorado,2311,19,3.2503468462226692e-06
287,1604444400000,Colorado,2333,22,3.7635595061525643e-06
288,1604530800000,Colorado,2353,20,3.421417732865968e-06
289,1604617200000,Colorado,2376,23,3.9346303927958625e-06
290,1604703600000,Colorado,2389,13,2.223921526362879e-06
291,1604790000000,Colorado,2394,5,8.55354433216492e-07
292,1604876400000,Colorado,2408,14,2.3949924130061773e-06
293,1604962800000,Colorado,2427,19,3.2503468462226692e-06
294,1605049200000,Colorado,2443,16,2.737134186292774e-06
295,1605135600000,Colorado,2468,25,4.27677216608246e-06
296,1605222000000,Colorado,2504,36,6.158551919158742e-06
297,1605308400000,Colorado,2525,21,3.592488619509266e-06
298,1605394800000,Colorado,2546,21,3.592488619509266e-06
299,1605481200000,Colorado,2578,32,5.474268372585548e-06
300,1605567600000,Colorado,2608,30,5.132126599298952e-06
301,1605654000000,Colorado,2651,43,7.35604812566183e-06
302,1605740400000,Colorado,2730,79,1.3514600044820572e-05
303,1605826800000,Colorado,2745,15,2.566063299649476e-06
304,1605913200000,Colorado,2787,42,7.184977239018532e-06
305,1605999600000,Colorado,2806,19,3.2503468462226692e-06
306,1606086000000,Colorado,2810,4,6.842835465731935e-07
307,1606172400000,Colorado,2860,50,8.55354433216492e-06
308,1606258800000,Colorado,2906,46,7.869260785591725e-06
309,1606345200000,Colorado,2957,51,8.724615218808218e-06
310,1606431600000,Colorado,2977,20,3.421417732865968e-06
311,1606518000000,Colorado,2983,6,1.0264253198597904e-06
312,1606604400000,Colorado,3003,20,3.421417732865968e-06
313,1606690800000,Colorado,3037,34,5.816410145872145e-06
314,1606777200000,Colorado,3109,72,1.2317103838317484e-05
315,1606863600000,Colorado,3193,84,1.4369954478037064e-05
316,1606950000000,Colorado,3320,127,2.1726002603698895e-05
317,1607036400000,Colorado,3338,18,3.079275959579371e-06
318,1579647600000,Florida,0,0,0.0
319,1579734000000,Florida,0,0,0.0
320,1579820400000,Florida,0,0,0.0
321,1579906800000,Florida,0,0,0.0
322,1579993200000,Florida,0,0,0.0
323,1580079600000,Florida,0,0,0.0
324,1580166000000,Florida,0,0,0.0
325,1580252400000,Florida,0,0,0.0
326,1580338800000,Florida,0,0,0.0
327,1580425200000,Florida,0,0,0.0
328,1580511600000,Florida,0,0,0.0
329,1580598000000,Florida,0,0,0.0
330,1580684400000,Florida,0,0,0.0
331,1580770800000,Florida,0,0,0.0
332,1580857200000,Florida,0,0,0.0
333,1580943600000,Florida,0,0,0.0
334,1581030000000,Florida,0,0,0.0
335,1581116400000,Florida,0,0,0.0
336,1581202800000,Florida,0,0,0.0
337,1581289200000,Florida,0,0,0.0
338,1581375600000,Florida,0,0,0.0
339,1581462000000,Florida,0,0,0.0
340,1581548400000,Florida,0,0,0.0
341,1581634800000,Florida,0,0,0.0
342,1581721200000,Florida,0,0,0.0
343,1581807600000,Florida,0,0,0.0
344,1581894000000,Florida,0,0,0.0
345,1581980400000,Florida,0,0,0.0
346,1582066800000,Florida,0,0,0.0
347,1582153200000,Florida,0,0,0.0
348,1582239600000,Florida,0,0,0.0
349,1582326000000,Florida,0,0,0.0
350,1582412400000,Florida,0,0,0.0
351,1582498800000,Florida,0,0,0.0
352,1582585200000,Florida,0,0,0.0
353,1582671600000,Florida,0,0,0.0
